Location,LocationResultCount,Latitude,Longitude,URL,ImageURL,Title
"Trenggono, Jawa Timur, Indonesia",1,-8.0961,111.2200,"https://www.antaranews.com/berita/4515940/kalamo-biak-wujudkan-ekonomi-sirkular-berkelanjutan-135-ton-ikan-segar-tembus-pasar-jawa","https://cdn.antaranews.com/cache/1200x800/2024/12/06/WhatsApp-Image-2024-12-06-at-09.54.36.jpeg","Kalamo Biak Wujudkan Ekonomi Sirkular Berkelanjutan , 13 , 5 Ton Ikan Segar Tembus Pasar Jawa"
"Lumajang, Jawa Timur, Indonesia",1,-8.1335,113.2250,"https://www.liputan6.com/bisnis/read/5822820/dahana-kembangkan-bom-pintar-bakal-dipakai-jet-tempur-tni-au","https://cdn1-production-images-kly.akamaized.net/bq5LFu2MMpH780A9XEQ3ASH2bT8=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5038835/original/087498400_1733482365-WhatsApp_Image_2024-12-06_at_17.38.26.jpeg","DAHANA Kembangkan Bom Pintar , Bakal Dipakai Jet Tempur TNI AU"
"Legian, Jawa Timur, Indonesia",1,-8.3290,112.6360,"https://www.wmxv1015.com/html/25b5999915.html","","Rate Money Changer - Bali Hari ini . domino qiu qiu pro hdi . 76kbet top - apk go win slot"
"Segara Anak, Nusa Tenggara Barat, Indonesia",1,-8.4042,116.4000,"https://aninews.in/news/business/indonesian-ministry-of-tourism-promotes-the-wonders-of-indonesia-lombok-and-central-java20241206183545/","https://d3lzcn6mbbadaf.cloudfront.net/media/details/ANI-20241206130515.jpg","Indonesian Ministry of Tourism Promotes the Wonders of Indonesia : Lombok and Central Java"
"Kerandangan, Nusa Tenggara Barat, Indonesia",1,-8.4868,116.0430,"https://www.webwire.com/ViewPressRel.asp?aId=330634","https://photos.webwire.com/prmedia/26968/330634/330634-1-m.jpg","West Nusa Tenggara : Where Beauty Meets Serenity"
"Lombok Strait, Indonesia (General), Indonesia",1,-8.5000,115.8330,"https://www.perthnow.com.au/news/travel/aussie-travellers-warned-over-dangerous-waves-along-bali-coast-c-16998364","https://images.perthnow.com.au/publication/C-16998364/cac0fccd01f201ab7394680ce3f4926c82ec4ac2-16x9-x0y921w4341h2442.jpg?imwidth=1200","Aussie travellers warned over dangerous waves along Bali coast"
"Gunungkidul, Nusa Tenggara Barat, Indonesia",1,-8.6171,116.3010,"https://ekbis.harianjogja.com/read/2024/12/06/502/1197197/pojok-statistik-ke-3-diy-diresmikan-di-upn-veteran-yogyakarta","","Pojok Statistik Ke - 3 DIY Diresmikan di UPN Veteran Yogyakarta"
"Ripin, Nusa Tenggara Barat, Indonesia",1,-8.6291,116.3100,"https://www.theborneopost.com/2024/12/07/awang-tengah-sarawak-trade-fair-a-vital-platform-for-economic-growth/","https://www.theborneopost.com/newsimages/2024/12/Lead-02-Kch-061224-km-stf-p2.jpg","Awang Tengah : Sarawak Trade Fair a vital platform for economic growth"
"Seminyak, Bali, Indonesia",1,-8.6900,115.1670,"https://www.wmxv1015.com/html/25b5999915.html","","Rate Money Changer - Bali Hari ini . domino qiu qiu pro hdi . 76kbet top - apk go win slot"
"Sinta, Nusa Tenggara Barat, Indonesia",1,-8.7195,116.2430,"https://www.antaranews.com/berita/4516084/kkp-tertibkan-rumpon-ilegal-di-wilayah-yang-berbatasan-dengan-filipina","https://cdn.antaranews.com/cache/1200x800/2024/11/04/Desa-Sejahtera-Astra-Hiu-Paus-Botubarani-041124-Aws-6.jpg","KKP tertibkan rumpon ilegal di wilayah yang berbatasan dengan Filipina"
"Kadek, Nusa Tenggara Barat, Indonesia",1,-8.7928,116.3010,"https://waspada.co.id/piala-asean-2024-timnas-indonesia-tanpa-ivar-jenner-dan-justin-hubner/","","Piala ASEAN 2024 : Timnas Indonesia Tanpa Ivar Jenner dan Justin Hubner"
"Uluwatu, Bali, Indonesia",1,-8.8333,115.0830,"https://www.710wfnr.com/html/30c0799962.html","","Pemandangan . gf777com apk . download apk mt777 apk download - qiu qiu pro versi lama"
"Larantuka, Nusa Tenggara Timur, Indonesia",1,-8.8507,121.2930,"https://bnpb.go.id/berita/tinggi-risiko-bencana-di-ntb-bnpb-bangun-gedung-pusat-pengendalian-operasi-di-empat-titik","https://bnpb.go.id/storage/app/media/2024%20Siaran%20Pers%20667%20Tinggi%20Risiko%20Bencana%20di%20NTB%20BNPB%20Bangun%20Gedung%20Pusat%20Pengendalian%20Operasi%20di%20Empat%20Titik/WhatsApp%20Image%202024-12-06%20at%2023.18.08.webp","Badan Nasional Penanggulangan Bencana"
"Merdeka, Nusa Tenggara Timur, Indonesia",1,-9.1058,124.8980,"https://www.viva.co.id/english/1778891-prabowo-urges-japan-to-join-giant-sea-wall-project","https://thumb.viva.co.id/media/frontend/thumbs3/2024/12/06/6752ab10b8eeb-presiden-ri-prabowo-subianto_665_374.jpeg","Prabowo Urges Japan to Join Giant Sea Wall Project"
"Kolaka, Nusa Tenggara Timur, Indonesia",1,-9.9591,120.4330,"https://www.metrotvnews.com/read/bVDCgWB8-kembangkan-hilirisasi-nikel-smelter-merah-putih-diapresiasi","https://cdn01.metrotvnews.com/content/2024/12/06/bVDCgWB8/t_675320ab3fea9.jpg","Kembangkan Hilirisasi Nikel , Smelter Merah Putih Diapresiasi"
"Ketua, Indonesia (General), Indonesia",1,0.0040,100.9850,"https://www.viva.co.id/english/1778904-bakrie-investors-confident-in-prabowo-s-rule-of-law-leadership","https://thumb.viva.co.id/media/frontend/thumbs3/2024/12/06/6752aae93b407-ketua-umum-kadin-indonesia-anindya-bakrie_665_374.jpeg","Bakrie : Investors Confident in Prabowo Rule of Law Leadership"
